Date,Bank of America Corp,Boeing Co/The,Simon Property Group LP,Citigroup Inc,JPMorgan Chase & Co,International Business Machines Corp,Motorola Solutions Inc,Caterpillar Inc,Nestle SA (EUR),McDonald's Corp
20080129,13.925644092127822,13.367286444372027,25.150000000000063,14.041661600280817,16.488239055525664,13.619319690179074,23.654000000000362,17.700000000000454,21.612,15.877924654276782
20080130,14.820856030283727,39.183,141.529,67.416,58.445,28.296,131.034,48.55,21.041,24.548
20080131,13.09054572331334,39.876,143.994,68.395,57.957,28.846,133.097,47.908,21.338,23.11
20080201,13.62499999999994,39.678,139.738,73.624,60.643,28.306,147.367,49.384,20.269,24.098
20080204,13.415116114696493,15.097621093418377,25.53,14.419617623481809,18.7303391662744,13.362544862762299,24.150000000000507,17.2180000000005,20.5,16.345136149540405
20080205,14.410278141297942,38.343,143.703,73.287,59.926,31.318,180.892,47.144,21.835,27.198
20080206,14.71324266081888,38.508,176.623,76.726,61.53,33.687,184.394,47.686,24.175,28.252
20080207,14.46212617546905,39.206,185.042,80.385,63.86,35.958,181.741,50.457,23.84,29.541
20080208,13.500000000000197,39.272,189.227,79.127,62.596,38.65,183.225,50.452,26.977,31.064
20080211,13.04356109982502,15.833000000000633,25.834000000000426,14.368100145878682,18.4580355496899,15.086000000000025,25.08299999999993,17.760000000000428,27.274,17.33500000000014
20080212,14.012658263197766,15.750000000000583,25.58400000000021,14.710589443940492,18.32091087247939,15.100000000000328,24.813000000000056,17.19800000000031,29.5,17.30800000000061
20080213,14.462738171997229,51.813,25.841000000000136,97.5,17.74568368247941,44.422,211.119,56.799,28.581,32.57
20080214,14.41972706151351,53.488,25.567999999999977,96.495,18.034409828820966,45.092,211.119,55.794,7.667000000000688,32.57
20080215,13.500000000000195,56.176,25.567999999999984,109.868,17.37500000000004,47.087,215.416,52.705,28.231,34.639
20080218,14.766385447348465,15.269953792862317,25.567999999999984,15.540737653777875,18.373098803104504,13.876784460011837,25.3750000000005,18.083000000000087,28.83,15.899713348064815
20080219,13.624999999999941,15.000000000000018,25.29200000000046,12.100000000000133,17.750000000000117,15.016000000000387,25.6640000000003,18.4429999999999,32.675,17.42300000000059
20080220,15.083514490513029,59.263,25.30200000000011,118.691,18.255218261764387,53.118,223.712,57.528,38.373,38.162
20080221,15.462131742832613,59.101,25.298000000000105,117.872,18.70866078063891,54.031,221.641,55.874,34.508,39.385
20080222,13.000000000000739,55.312,25.465000000000206,116.75,18.250000000000327,55.219,226.139,59.28,35.916,39.583
20080225,15.495589425766644,15.029488106177832,25.570000000000185,18.213738153906668,20.5344602729328,13.93148945142667,29.3500000000001,18.289999999999967,31.442,16.499837295408014
20080226,16.181231464570907,50.054,25.57000000000018,119.712,20.269925549790276,54.691,234.999,55.227,30.779,35.207
20080227,16.67775059882577,46.704,25.47500000000011,119.042,20.319464419432897,53.016,231.649,51.877,30.746,34.537
20080228,17.293651284496786,16.23542761044887,25.468000000000174,17.3885554888477,20.17381488506364,14.763191558282537,28.946000000000172,18.813000000000052,32.642,16.546034540958473
20080229,13.375000000000298,14.875000000000094,25.487000000000446,17.948867875955575,18.06300000000005,15.310000000000167,29.633000000000095,18.61300000000013,36.985,17.72300000000001
20080303,18.728913541249067,16.41678733592112,25.485000000000376,18.02377799423317,20.680573483281037,14.865980929504486,30.758000000000123,18.986999999999973,35.632,16.475314939778492
20080304,18.37443561111628,50.297,25.48300000000007,166.722,20.358176157907582,60.575,338.687,54.111,37.31,42.009
20080305,18.2555941791847,50.264,26.147999999999932,170.793,20.577107153438224,63.028,351.123,56.377,34.5,41.72
20080306,18.546824668230503,50.594,27.942000000000313,172.748,20.933046541364753,63.777,353.21,56.499,35.158,39.596
20080307,13.000000000000739,15.000000000000018,27.080999999999957,12.167000000000566,18.75000000000029,15.265000000000269,30.159999999999958,18.722999999999892,43.957,15.740000000000103
20080310,18.877227908610855,17.394697554637926,27.943000000000023,19.220895429788964,20.953042712185564,14.972761675189805,30.294000000000246,18.780000000000573,45.188,15.886838815344287
20080311,18.32671164756266,56.91,27.942000000000313,204.31,20.869459800543588,15.010040866676427,354.236,63.244,47.16,39.771
20080312,18.071344629804948,57.39,28.3450000000003,16.814912092389616,19.470103689018188,14.8840000000004,29.94800000000015,65.29,45.853,38.87
20080313,17.044890365872586,14.50000000000018,28.46300000000012,16.335798261534777,19.447021717281423,14.51300000000031,29.42700000000028,18.083000000000087,41.818,14.60000000000051
20080314,12.875000000000147,63.213,28.117000000000008,224.717,17.150000000000077,66.779,359.513,65.135,47.089,38.195
20080317,12.87500000000015,14.750000000000385,27.837000000000174,12.250000000000643,17.06300000000069,14.737000000000457,29.5949999999999,18.058000000000636,48.957,15.282000000000403
20080318,12.500000000000473,58.216,73.57609492528682,199.924,32.26377929962281,61.753,351.41,62.989,47.373,35.038
20080319,13.16700000000053,49.974,74.63569361617849,171.753,32.16044545230831,56.235,322.127,54.775,41.487,31.066
20080320,12.750000000000677,48.728,72.67862600887847,176.844,33.29783146976551,53.116,315.931,51.788,46.228,30.282
